Pointages AviMéca
t;x;y
(s);(m);(m)
0,000;-1,04E-2;1,07E+0
0,040;7,29E-2;1,17E+0
0,080;1,56E-1;1,28E+0
0,120;2,50E-1;1,38E+0
0,160;3,40E-1;1,44E+0
0,200;3,99E-1;1,52E+0
0,240;4,90E-1;1,58E+0
0,280;5,80E-1;1,66E+0
0,320;6,70E-1;1,72E+0
0,360;7,40E-1;1,77E+0
0,400;8,20E-1;1,81E+0
0,440;9,20E-1;1,85E+0
0,480;9,76E-1;1,87E+0
0,520;1,07E+0;1,89E+0
0,560;1,16E+0;1,90E+0
0,600;1,24E+0;1,90E+0
0,640;1,33E+0;1,90E+0
0,680;1,41E+0;1,91E+0
0,720;1,48E+0;1,89E+0
0,760;1,56E+0;1,88E+0
0,800;1,65E+0;1,84E+0
0,840;1,73E+0;1,80E+0
0,880;1,82E+0;1,75E+0
0,920;1,89E+0;1,71E+0
0,960;1,99E+0;1,66E+0
1,000;2,05E+0;1,60E+0
1,040;2,14E+0;1,53E+0
1,080;2,23E+0;1,44E+0
