Pointages AviMeca
t;x;y
(s);(m);(m)
0;0,8643000000000001;0
27,889;0,711;0,632
55,778;0,354;1,1
83,667;-0,068;1,394
111,556;-0,486;1,56
139,444;-0,879;1,637
167,333;-1,238;1,65
195,222;-1,562;1,616
223,111;-1,852;1,546
251,0;-2,11;1,449
278,889;-2,336;1,331
306,778;-2,533;1,195
334,667;-2,701;1,046
362,556;-2,842;0,887
390,444;-2,955;0,719
418,333;-3,043;0,544
446,222;-3,106;0,365
474,111;-3,143;0,183
502,0;-3,156;0,0
529,889;-3,143;-0,183
557,778;-3,106;-0,365
585,667;-3,043;-0,544
613,556;-2,955;-0,719
641,444;-2,842;-0,887
669,333;-2,701;-1,046
697,222;-2,533;-1,195
725,111;-2,336;-1,331
753,0;-2,11;-1,449
780,889;-1,852;-1,546
808,778;-1,562;-1,616
836,667;-1,238;-1,65
864,556;-0,879;-1,637
892,444;-0,486;-1,56
920,333;-0,068;-1,394
948,222;0,354;-1,1
976,111;0,711;-0,632
